"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test login functionality and verify the product page with screenshot attachments.","886","test_swag_login[standard_user-secret_sauce]","Tests","Fri May 30 18:15:40 MDT 2025","passed","Fri May 30 18:15:40 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","932","test_swag_login[visual_user-secret_sauce]","Tests","Fri May 30 18:16:04 MDT 2025","passed","Fri May 30 18:16:05 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","889","test_swag_login[problem_user-secret_sauce]","Tests","Fri May 30 18:15:53 MDT 2025","passed","Fri May 30 18:15:54 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","914","test_swag_login[error_user-secret_sauce]","Tests","Fri May 30 18:16:02 MDT 2025","passed","Fri May 30 18:16:03 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","10812","test_swag_login[locked_out_user-secret_sauce]","Tests","Fri May 30 18:15:41 MDT 2025","passed","Fri May 30 18:15:52 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","5886","test_swag_login[performance_glitch_user-secret_sauce]","Tests","Fri May 30 18:15:55 MDT 2025","passed","Fri May 30 18:16:01 MDT 2025","","test_swag_login","",""
