"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test login functionality and verify the product page with screenshot attachments.","2976","test_swag_login[visual_user-secret_sauce]","Tests","Fri May 30 17:49:11 MDT 2025","passed","Fri May 30 17:49:14 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","2926","test_swag_login[standard_user-secret_sauce]","Tests","Fri May 30 17:49:10 MDT 2025","passed","Fri May 30 17:49:13 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","2532","test_swag_login[error_user-secret_sauce]","Tests","Fri May 30 17:49:12 MDT 2025","passed","Fri May 30 17:49:14 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","2669","test_swag_login[problem_user-secret_sauce]","Tests","Fri May 30 17:49:09 MDT 2025","passed","Fri May 30 17:49:12 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","6816","test_swag_login[performance_glitch_user-secret_sauce]","Tests","Fri May 30 17:49:13 MDT 2025","passed","Fri May 30 17:49:20 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","11587","test_swag_login[locked_out_user-secret_sauce]","Tests","Fri May 30 17:49:13 MDT 2025","passed","Fri May 30 17:49:24 MDT 2025","","test_swag_login","",""
