"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test login functionality and verify the product page with screenshot attachments.","2566","test_swag_login[error_user-secret_sauce]","Tests","Sat Apr 19 14:42:09 MDT 2025","passed","Sat Apr 19 14:42:12 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","2782","test_swag_login[problem_user-secret_sauce]","Tests","Sat Apr 19 14:42:09 MDT 2025","passed","Sat Apr 19 14:42:12 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","7204","test_swag_login[performance_glitch_user-secret_sauce]","Tests","Sat Apr 19 14:42:11 MDT 2025","passed","Sat Apr 19 14:42:18 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","11138","test_swag_login[locked_out_user-secret_sauce]","Tests","Sat Apr 19 14:42:12 MDT 2025","passed","Sat Apr 19 14:42:23 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","1520","test_swag_login[standard_user-secret_sauce]","Tests","Sat Apr 19 14:42:11 MDT 2025","passed","Sat Apr 19 14:42:13 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","2202","test_swag_login[visual_user-secret_sauce]","Tests","Sat Apr 19 14:42:11 MDT 2025","passed","Sat Apr 19 14:42:13 MDT 2025","","test_swag_login","",""
