"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test login functionality and verify the product page with screenshot attachments.","2012","test_swag_login[visual_user-secret_sauce]","Tests","Fri May 30 18:06:25 MDT 2025","passed","Fri May 30 18:06:27 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","2505","test_swag_login[problem_user-secret_sauce]","Tests","Fri May 30 18:06:24 MDT 2025","passed","Fri May 30 18:06:27 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","12162","test_swag_login[locked_out_user-secret_sauce]","Tests","Fri May 30 18:06:23 MDT 2025","passed","Fri May 30 18:06:35 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","2334","test_swag_login[standard_user-secret_sauce]","Tests","Fri May 30 18:06:24 MDT 2025","passed","Fri May 30 18:06:26 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","1774","test_swag_login[error_user-secret_sauce]","Tests","Fri May 30 18:06:26 MDT 2025","passed","Fri May 30 18:06:28 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","6859","test_swag_login[performance_glitch_user-secret_sauce]","Tests","Fri May 30 18:06:26 MDT 2025","passed","Fri May 30 18:06:33 MDT 2025","","test_swag_login","",""
