"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test login functionality and verify the product page with screenshot attachments.","1239","test_swag_login[standard_user-secret_sauce]","Tests","Fri May 30 20:27:47 MDT 2025","passed","Fri May 30 20:27:48 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","11119","test_swag_login[visual_user-secet_sauce]","Tests","Fri May 30 20:27:47 MDT 2025","failed","Fri May 30 20:27:58 MDT 2025","","test_swag_login","",""
