"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test login functionality and verify the product page with screenshot attachments.","11049","test_swag_login[locked_out_user-secret_sauce]","Tests","Fri May 30 18:22:19 MDT 2025","passed","Fri May 30 18:22:30 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","1187","test_swag_login[standard_user-secret_sauce]","Tests","Fri May 30 18:22:15 MDT 2025","passed","Fri May 30 18:22:17 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","6115","test_swag_login[performance_glitch_user-secret_sauce]","Tests","Fri May 30 18:22:35 MDT 2025","passed","Fri May 30 18:22:41 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","1121","test_swag_login[visual_user-secret_sauce]","Tests","Fri May 30 18:22:47 MDT 2025","passed","Fri May 30 18:22:48 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","1110","test_swag_login[problem_user-secret_sauce]","Tests","Fri May 30 18:22:32 MDT 2025","passed","Fri May 30 18:22:33 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","1131","test_swag_login[error_user-secret_sauce]","Tests","Fri May 30 18:22:43 MDT 2025","passed","Fri May 30 18:22:45 MDT 2025","","test_swag_login","",""
