"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test login functionality and verify the product page with screenshot attachments.","943","test_swag_login[error_user-secret_sauce]","Tests","Fri May 30 19:08:14 MDT 2025","passed","Fri May 30 19:08:15 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","968","test_swag_login[visual_user-secret_sauce]","Tests","Fri May 30 19:08:16 MDT 2025","passed","Fri May 30 19:08:17 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","0","test_swag_login[locked_out_user-secret_sauce]","Tests","Fri May 30 19:06:04 MDT 2025","broken","Fri May 30 19:06:04 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","1266","test_swag_login[problem_user-secret_sauce]","Tests","Fri May 30 19:08:05 MDT 2025","passed","Fri May 30 19:08:06 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","5979","test_swag_login[performance_glitch_user-secret_sauce]","Tests","Fri May 30 19:08:07 MDT 2025","passed","Fri May 30 19:08:13 MDT 2025","","test_swag_login","",""
"Test login functionality and verify the product page with screenshot attachments.","0","test_swag_login[standard_user-secret_sauce]","Tests","Fri May 30 19:06:04 MDT 2025","broken","Fri May 30 19:06:04 MDT 2025","","test_swag_login","",""
